Lat,Lon,Elevation
47.382706,-120.804306,1110
47.419037,-120.68367,1294
47.45522,-120.5629,897
47.49126,-120.44191,301
47.52717,-120.32077,743
47.562927,-120.19943,1212
47.598545,-120.07794,920
47.63401,-119.95628,766
47.66933,-119.83444,790
47.704514,-119.71243,726
47.739555,-119.59021,571
47.77444,-119.467834,663
47.809196,-119.34531,670
47.843784,-119.222595,711
47.878246,-119.0997,474
47.91255,-118.976654,723
47.946712,-118.85339,384
47.980717,-118.72998,685
48.014587,-118.606415,719
48.048306,-118.482666,821
48.081875,-118.358765,738
48.115284,-118.234665,389
48.148567,-118.11037,892
48.181686,-117.98593,1708
48.21465,-117.86136,797
48.24747,-117.73657,512
48.28014,-117.61163,1147
48.312653,-117.48654,1447
48.34502,-117.36127,714
48.377235,-117.235794,958
48.4093,-117.11017,1316
48.441204,-116.984406,770
48.47296,-116.85846,745
48.504566,-116.73236,1499
48.53601,-116.60608,977
48.567318,-116.479614,934
48.59846,-116.353,696
48.629436,-116.22623,1311
48.66028,-116.099304,703
48.690952,-115.9722,1761
48.72147,-115.84494,1359
48.75184,-115.7175,1420
48.782047,-115.589905,1576
48.8121,-115.46214,1715
48.841995,-115.33424,1479
48.871727,-115.20616,800
48.901306,-115.07794,788
48.930737,-114.94951,1879
48.959995,-114.82097,1899
48.989098,-114.69226,1795
49.01804,-114.563385,1939
49.04683,-114.43436,1366
49.075455,-114.305176,2113
49.10392,-114.17584,1592
49.13222,-114.046326,1859
49.160374,-113.91666,1672
49.188354,-113.786865,1301
49.21617,-113.656906,1241
49.24383,-113.526794,1222
49.271328,-113.396515,1145
49.298664,-113.26607,1110
49.325832,-113.1355,1102
49.352844,-113.004776,1062
49.379692,-112.8739,999
49.406376,-112.74286,1036
45.601032,-126.332855,0
45.643684,-126.220566,0
45.686207,-126.10809,0
45.728615,-125.99542,0
45.77089,-125.88257,0
45.813034,-125.76953,0
45.855072,-125.65631,0
45.89697,-125.54291,0
45.938736,-125.42935,0
45.980373,-125.31558,0
46.021896,-125.20166,0
46.06329,-125.087524,0
46.104546,-124.97322,0
46.14568,-124.858734,0
46.186676,-124.74408,0
46.227554,-124.629196,0
46.268295,-124.514175,0
46.308903,-124.39899,0
46.34939,-124.2836,0
46.389748,-124.167984,0
46.429966,-124.052216,7
46.470055,-123.93628,60
46.510002,-123.820175,211
46.54983,-123.70387,380
46.58952,-123.58739,69
46.629078,-123.47072,231
46.668503,-123.35388,456
46.70779,-123.23685,191
46.746944,-123.11963,114
46.785965,-123.00226,62
46.824852,-122.88469,116
46.8636,-122.76694,136
46.90222,-122.64899,139
46.940697,-122.53088,135
46.97904,-122.41261,170
47.01724,-122.29416,227
47.055313,-122.175476,241
47.093243,-122.05664,323
47.13104,-121.93764,454
47.168686,-121.81847,589
47.206203,-121.699066,1101
47.243576,-121.579544,973
47.280815,-121.45982,1007
47.3179,-121.339935,763
47.354866,-121.21982,1370
47.391685,-121.09958,724
47.42836,-120.97916,1709
47.464886,-120.85852,2086
47.501278,-120.73773,1929
47.537533,-120.61676,368
47.57364,-120.49562,1031
47.609604,-120.3743,1284
47.645428,-120.25279,724
47.6811,-120.131134,885
47.716633,-120.00928,892
47.752014,-119.88727,833
47.787266,-119.765076,764
47.82236,-119.642654,685
47.857315,-119.52011,687
47.892128,-119.397385,658
47.92678,-119.27449,722
47.961304,-119.15141,709
47.99567,-119.02817,743
48.0299,-118.904724,757
48.06396,-118.78116,1164
48.097893,-118.65738,593
48.131668,-118.53343,684
48.165295,-118.40933,685
48.198772,-118.28505,566
48.232113,-118.16058,389
48.26529,-118.035934,1018
48.298317,-117.91116,661
48.331196,-117.786194,662
48.363922,-117.66104,1063
48.396503,-117.535736,1082
48.42893,-117.41028,1071
48.461197,-117.28461,631
48.493324,-117.15878,1038
48.525295,-117.03281,962
48.557102,-116.90668,743
48.588764,-116.780365,1381
48.62027,-116.653885,1738
48.651634,-116.52719,1532
48.682827,-116.40039,543
48.713875,-116.27341,600
48.744755,-116.14627,761
48.77549,-116.01895,1587
48.806076,-115.89148,877
48.8365,-115.763824,953
48.866768,-115.63605,996
48.896877,-115.50807,1770
48.926823,-115.379944,1647
48.956615,-115.25165,980
48.986248,-115.123215,779
49.01573,-114.99457,1322
49.04505,-114.865814,1969
49.07421,-114.73691,1913
49.103203,-114.60782,1505
49.13205,-114.478546,1351
49.160732,-114.34915,2093
49.18925,-114.21959,2041
49.217606,-114.08984,2110
49.245804,-113.95996,1429
49.27384,-113.829926,1327
49.301712,-113.69974,1181
49.32943,-113.5694,1105
49.356976,-113.43892,1069
49.38437,-113.30823,1065
49.4116,-113.17743,1098
49.43865,-113.04648,1018
49.46555,-112.915375,977
49.492283,-112.7841,947
