GridCell,Lat,Lon,μ,ϕ,ξ,q
10281,55.9502067565918,-120.39370727539062,41.580920920310945,2.6880414733150784,0.11422935393359032,51.08645419444413
10282,55.98604202270508,-120.2462158203125,40.92688682752514,2.650219441599108,0.09456742170389716,50.01527114518011
10283,56.02170181274414,-120.09843444824219,38.55291870476475,2.4626986774256,0.18798045769578997,48.349274596069506
10284,56.05717086791992,-119.95040893554688,36.0589009389536,2.386057894337247,0.21146695276762562,45.92104353145848
10285,56.09247589111328,-119.80210876464844,36.382284674667886,2.4789430511302015,0.13985540317529832,45.51020966799265
10286,56.127601623535156,-119.65353393554688,37.47766275436733,2.4736609082302783,0.10735790431866615,46.131449240362365
10287,56.16256332397461,-119.504638671875,36.83182146267228,2.376294884327604,0.14560928511216908,45.66218040406489
10288,56.19732666015625,-119.35552978515625,36.65405656947185,2.448873967299367,0.08219482834233013,44.89245140069523
10289,56.23192596435547,-119.20614624023438,36.05414959030705,2.5584154154454333,0.06127752940710988,44.388609974994424
10290,56.26634216308594,-119.05650329589844,37.18437246754604,2.598392397623002,-2.0988213139707435e-5,44.90186466889179
10291,56.30058288574219,-118.90655517578125,36.68856210782626,2.526291892253056,-0.0509731055396823,43.651734164251025
10292,56.33464050292969,-118.75637817382812,35.710374674373334,2.4774088809701995,-0.014861929984630113,42.90871631646034
10293,56.3685188293457,-118.60592651367188,36.11574549889863,2.5071708259165457,-0.06586261002890606,42.87940627260316
10294,56.4022216796875,-118.4552001953125,35.57654097466691,2.516794836322931,-0.026566972543296548,42.76458270880893
10295,56.43573760986328,-118.30419921875,36.377001254967944,2.581534292192241,-0.03544953264746194,43.654792928166174
10296,56.46907424926758,-118.1529541015625,37.05220581814724,2.5096467316963356,-0.0536631531415342,43.94263238486393
10297,56.502227783203125,-118.00143432617188,39.60815617047598,2.612474025007869,-0.05361568759563902,46.78139512657294
10298,56.53520584106445,-117.84967041015625,38.961293237388034,2.6847864354087987,0.0018956330754601016,46.958124708015994
10299,56.56798553466797,-117.69764709472656,39.96300785783464,2.7235123949166766,0.0365946665713636,48.50837194365098
10300,56.60060119628906,-117.54531860351562,41.57796186012869,2.8157211528360673,0.016778494909360845,50.15310156311125
10301,56.63302230834961,-117.39274597167969,42.044684910766904,2.7892560476366577,-0.013324982648920321,50.16751776971515
10302,56.665252685546875,-117.23992919921875,40.54846598162216,2.7043206444488357,0.05096591284409782,49.22066514493581
